timestamp,mode,temperature,recording
2025-07-10T12:31:12.835787,Normal,38.93,False
2025-07-10T12:31:13.374815,Normal,26.06,False
2025-07-10T12:31:13.408027,Normal,20.97,False
2025-07-10T12:31:13.473646,Normal,24.11,False
2025-07-10T12:31:13.507775,Normal,24.07,False
2025-07-10T12:31:13.539845,Normal,32.87,False
2025-07-10T12:31:13.573408,Normal,25.66,False
2025-07-10T12:31:13.606916,Normal,20.66,False
2025-07-10T12:31:13.639893,Normal,37.30,False
2025-07-10T12:31:13.697792,Normal,44.96,False
2025-07-10T12:31:13.808585,Normal,29.94,False
2025-07-10T12:31:13.881724,Normal,45.41,False
2025-07-10T12:31:13.910609,Normal,41.01,False
2025-07-10T12:31:13.950728,Normal,21.26,False
2025-07-10T12:31:14.028894,Normal,41.28,False
2025-07-10T12:31:14.106799,Normal,47.57,False
2025-07-10T12:31:14.146859,Normal,30.54,False
2025-07-10T12:31:14.173428,Normal,34.69,False
2025-07-10T12:31:14.207245,Normal,30.74,False
2025-07-10T12:31:14.239617,Normal,27.49,False
2025-07-10T12:31:14.273565,Normal,28.63,False
2025-07-10T12:31:14.309405,Normal,34.72,False
2025-07-10T12:31:14.342172,Normal,23.83,False
2025-07-10T12:31:14.376886,Normal,22.90,False
2025-07-10T12:31:14.412505,Normal,30.36,False
2025-07-10T12:31:14.440245,Normal,44.58,False
2025-07-10T12:31:14.475265,Normal,35.76,False
2025-07-10T12:31:14.506827,Normal,46.94,False
2025-07-10T12:31:14.539655,Normal,42.84,False
2025-07-10T12:31:14.572557,Normal,39.54,False
2025-07-10T12:31:14.607039,Normal,46.66,False
2025-07-10T12:31:14.640447,Normal,37.47,False
2025-07-10T12:31:14.673433,Normal,37.25,False
2025-07-10T12:31:14.706633,Normal,28.37,False
2025-07-10T12:31:14.739615,Normal,38.90,False
2025-07-10T12:31:14.772854,Normal,40.92,False
2025-07-10T12:31:14.811363,Normal,39.91,False
2025-07-10T12:31:14.840028,Normal,43.90,False
2025-07-10T12:31:14.873936,Normal,39.28,False
2025-07-10T12:31:14.907128,Normal,44.66,False
2025-07-10T12:31:14.940545,Normal,41.05,False
2025-07-10T12:31:14.973384,Normal,46.36,False
2025-07-10T12:31:15.007037,Normal,40.50,False
2025-07-10T12:31:15.039639,Normal,22.58,False
2025-07-10T12:31:15.072694,Normal,21.89,False
2025-07-10T12:31:15.105591,Normal,44.58,False
2025-07-10T12:31:15.139443,Normal,26.96,False
2025-07-10T12:31:15.172831,Normal,22.72,False
2025-07-10T12:31:15.206465,Normal,26.00,False
2025-07-10T12:31:15.239024,Normal,20.98,False
2025-07-10T12:31:15.273044,Normal,31.38,False
2025-07-10T12:31:15.307296,Normal,38.11,False
2025-07-10T12:31:15.340770,Normal,41.89,False
2025-07-10T12:31:15.372261,Normal,32.36,False
2025-07-10T12:31:15.405474,Normal,29.47,False
2025-07-10T12:31:15.439334,Normal,46.27,False
2025-07-10T12:31:15.473203,Normal,37.74,False
2025-07-10T12:31:15.506603,Normal,34.17,False
2025-07-10T12:31:15.540909,Normal,25.03,False
2025-07-10T12:31:15.574822,Normal,29.72,False
2025-07-10T12:31:15.607948,Normal,37.69,False
2025-07-10T12:31:15.641124,Normal,34.08,False
2025-07-10T12:31:15.674886,Normal,22.42,False
2025-07-10T12:31:15.709105,Normal,26.87,False
2025-07-10T12:31:15.741869,Normal,47.84,False
2025-07-10T12:31:15.775717,Normal,25.84,False
2025-07-10T12:31:15.809135,Normal,20.01,False
2025-07-10T12:31:15.841558,Normal,28.01,False
2025-07-10T12:31:15.876250,Normal,22.13,False
2025-07-10T12:31:15.909059,Normal,32.76,False
2025-07-10T12:31:15.942074,Normal,32.66,False
2025-07-10T12:31:15.974945,Normal,37.82,False
2025-07-10T12:31:16.008754,Normal,32.18,False
2025-07-10T12:31:16.043139,Normal,35.49,False
2025-07-10T12:31:16.075461,Normal,39.23,False
2025-07-10T12:31:16.109494,Normal,31.25,False
2025-07-10T12:31:16.143044,Normal,43.85,False
2025-07-10T12:31:16.175781,Normal,31.11,False
2025-07-10T12:31:16.209097,Normal,40.99,False
2025-07-10T12:31:16.241714,Normal,35.21,False
2025-07-10T12:31:16.274376,Normal,32.34,False
2025-07-10T12:31:16.309051,Normal,21.51,False
2025-07-10T12:31:16.343842,Normal,28.38,False
2025-07-10T12:31:16.375705,Normal,47.47,False
2025-07-10T12:31:16.409560,Normal,39.92,False
2025-07-10T12:31:16.442837,Normal,34.28,False
2025-07-10T12:31:16.473849,Normal,26.84,False
2025-07-10T12:31:16.509709,Normal,31.16,False
2025-07-10T12:31:16.543244,Normal,33.64,False
2025-07-10T12:31:16.575478,Normal,47.58,False
2025-07-10T12:31:16.609117,Normal,25.62,False
2025-07-10T12:31:16.643083,Normal,41.97,False
2025-07-10T12:31:16.675539,Normal,20.17,False
2025-07-10T12:31:16.709113,Normal,25.32,False
2025-07-10T12:31:16.741595,Normal,43.43,False
2025-07-10T12:31:16.774666,Normal,22.92,False
2025-07-10T12:31:16.808949,Normal,25.96,False
2025-07-10T12:31:16.842093,Normal,29.24,False
2025-07-10T12:31:16.875939,Normal,40.02,False
2025-07-10T12:31:16.909298,Normal,37.58,False
2025-07-10T12:31:16.942171,Normal,42.68,False
2025-07-10T12:31:16.976075,Normal,28.35,False
2025-07-10T12:31:17.009810,Normal,25.03,False
2025-07-10T12:31:17.042708,Normal,26.84,False
2025-07-10T12:31:17.076113,Normal,24.73,False
2025-07-10T12:31:17.108517,Normal,42.60,False
2025-07-10T12:31:17.142985,Normal,37.41,False
2025-07-10T12:31:17.176041,Normal,37.84,False
2025-07-10T12:31:17.209446,Normal,26.19,False
2025-07-10T12:31:17.242561,Normal,20.94,False
2025-07-10T12:31:17.275649,Normal,27.70,False
2025-07-10T12:31:17.308648,Normal,42.56,False
2025-07-10T12:31:17.342448,Normal,37.85,False
2025-07-10T12:31:17.376066,Normal,37.28,False
2025-07-10T12:31:17.409200,Normal,32.18,False
2025-07-10T12:31:17.440923,Normal,22.31,False
2025-07-10T12:31:17.477631,Normal,33.94,False
2025-07-10T12:31:17.507816,Normal,32.65,False
2025-07-10T12:31:17.540044,Normal,40.61,False
2025-07-10T12:31:17.574158,Normal,36.00,False
2025-07-10T12:31:17.606440,Normal,26.43,False
2025-07-10T12:31:17.642315,Normal,25.06,False
2025-07-10T12:31:17.675100,Normal,47.03,False
2025-07-10T12:31:17.709369,Normal,46.72,False
2025-07-10T12:31:17.742494,Normal,34.25,False
2025-07-10T12:31:17.775131,Normal,20.10,False
2025-07-10T12:31:17.808163,Normal,37.55,False
2025-07-10T12:31:17.842062,Normal,35.69,False
2025-07-10T12:31:17.875588,Normal,36.23,False
2025-07-10T12:31:17.912757,Normal,30.54,False
2025-07-10T12:31:17.941996,Normal,26.86,False
2025-07-10T12:31:17.974663,Normal,59.37,False
2025-07-10T12:31:18.258039,Fault,24.17,True
2025-07-10T12:31:18.305529,Fault,46.97,True
2025-07-10T12:31:18.372767,Fault,29.23,True
2025-07-10T12:31:18.439926,Fault,35.70,True
2025-07-10T12:31:18.507615,Fault,41.72,True
2025-07-10T12:31:18.574683,Fault,47.93,True
2025-07-10T12:31:18.642276,Fault,29.06,True
2025-07-10T12:31:18.708151,Fault,28.72,True
2025-07-10T12:31:18.776108,Fault,22.97,True
2025-07-10T12:31:18.842418,Fault,24.28,True
2025-07-10T12:31:18.909472,Fault,30.37,True
2025-07-10T12:31:18.976180,Fault,24.36,True
2025-07-10T12:31:19.041467,Fault,47.06,True
2025-07-10T12:31:19.108999,Fault,22.34,True
2025-07-10T12:31:19.177104,Fault,38.77,True
2025-07-10T12:31:19.244185,Fault,23.53,True
2025-07-10T12:31:19.310616,Fault,40.91,True
2025-07-10T12:31:19.376941,Fault,44.49,True
2025-07-10T12:31:19.444235,Fault,40.23,True
2025-07-10T12:31:19.505303,Fault,31.55,True
2025-07-10T12:31:19.538947,Fault,29.65,True
2025-07-10T12:31:19.607610,Fault,37.24,True
2025-07-10T12:31:19.672036,Fault,26.97,True
2025-07-10T12:31:19.740912,Fault,31.10,True
2025-07-10T12:31:19.804922,Fault,24.98,True
2025-07-10T12:31:19.872975,Fault,23.63,True
2025-07-10T12:31:19.940323,Fault,26.51,True
2025-07-10T12:31:20.008430,Fault,30.61,True
2025-07-10T12:31:20.077036,Fault,44.66,True
2025-07-10T12:31:20.143147,Fault,46.74,True
2025-07-10T12:31:20.209415,Fault,23.18,True
2025-07-10T12:31:20.277533,Fault,37.05,True
2025-07-10T12:31:20.342996,Fault,31.69,True
2025-07-10T12:31:20.410139,Fault,39.83,True
2025-07-10T12:31:20.476462,Fault,47.61,True
2025-07-10T12:31:20.542425,Fault,25.22,True
2025-07-10T12:31:20.606995,Fault,35.55,True
2025-07-10T12:31:20.676639,Fault,34.15,True
2025-07-10T12:31:20.743685,Fault,21.09,True
2025-07-10T12:31:20.805724,Fault,41.56,True
2025-07-10T12:31:20.874341,Fault,30.09,True
2025-07-10T12:31:20.943536,Fault,26.36,True
2025-07-10T12:31:21.006375,Fault,31.43,True
2025-07-10T12:31:21.075951,Fault,32.87,True
2025-07-10T12:31:21.143854,Fault,38.19,True
2025-07-10T12:31:21.208453,Fault,25.26,True
2025-07-10T12:31:21.275060,Fault,33.90,True
2025-07-10T12:31:21.343653,Fault,37.50,True
2025-07-10T12:31:21.410259,Fault,42.17,True
2025-07-10T12:31:21.474857,Fault,42.09,True
2025-07-10T12:31:21.541948,Fault,33.87,True
2025-07-10T12:31:21.609904,Fault,26.13,True
2025-07-10T12:31:21.675492,Fault,42.20,True
2025-07-10T12:31:21.741626,Fault,46.01,True
2025-07-10T12:31:21.805507,Fault,24.00,True
2025-07-10T12:31:21.872966,Fault,21.59,True
2025-07-10T12:31:21.940331,Fault,47.32,True
2025-07-10T12:31:22.008516,Fault,40.55,True
2025-07-10T12:31:22.076097,Fault,37.55,True
2025-07-10T12:31:22.141442,Fault,45.20,True
2025-07-10T12:31:22.207777,Fault,33.91,True
2025-07-10T12:31:22.272266,Fault,35.62,True
2025-07-10T12:31:22.342370,Fault,21.86,True
2025-07-10T12:31:22.408773,Fault,24.64,True
2025-07-10T12:31:22.473377,Fault,24.54,True
2025-07-10T12:31:22.542851,Fault,39.32,True
2025-07-10T12:31:22.606844,Fault,39.96,True
2025-07-10T12:31:22.674771,Fault,46.30,True
2025-07-10T12:31:22.739495,Fault,43.40,True
2025-07-10T12:31:22.807913,Fault,31.29,True
2025-07-10T12:31:22.874583,Fault,40.93,True
2025-07-10T12:31:22.941878,Fault,43.44,True
2025-07-10T12:31:23.005734,Fault,23.97,True
2025-07-10T12:31:23.073119,Fault,46.60,True
2025-07-10T12:31:23.139575,Fault,30.13,True
2025-07-10T12:31:23.206928,Fault,41.13,True
